Username,Follower,About,Location,PageURL,Sexual,EnneagramType,Gender,Groups
,"['Angina Jolie', 'Artemis 2x4', 'attic', 'BoomerGirl', 'Calvaire', 'chanteuse', 'Dreaming of Dragons', 'Emeraude', 'ghostgirl', 'IndigoCopper', 'kittymobile', 'Lune', 'MeltedSorbet', 'narawithherthought', 'Ninibear', 'Ronin_dreamer', 'Thread Killer', 'walkingalceste', 'WindinyourSoul']","I am a recent college graduate, having a Bachelor's of Science in Psychology. Currently working on my severe depression, avoidant personality disorder, social anxiety disorder, generalized anxiety disorder, and panic disorder in therapy. My dream career is to be a writer. 
I enjoy philosophy, religion, psychology, and other things of that nature. I have a deep love for Orthodox Christianity. 
I enjoy a lot of indie and emo music as well as stuff from 60s-80s. 
I am really into reading. I like comic books, novels, philosophy books, and plenty of other books. 
I also enjoy cartoons and video games.",Ohio, https://www.personalitycafe.com/members/absurdblackbear.html,Female,Type 4w5,Male,[]
,,,Central Fl, https://www.personalitycafe.com/members/absurdist.html,Female,,Male,"['art-club', 'find-friend', 'perc-infp-chat-room', 'infp-haven']"
,,,, https://www.personalitycafe.com/members/13thrussian.html,Female,Type 7,Male,[]
,['France Petre'],,, https://www.personalitycafe.com/members/311lover.html,Male,,,[]
33sarah,"['iwrite', 'iwrite']",,state of confusion, https://www.personalitycafe.com/members/33sarah.html,,,Other,[]
ablyxa,"['Beappreciated', 'petite libellule']",,North Carolina, https://www.personalitycafe.com/members/ablyxa.html,Female,,Male,[]
,,"Well... I'm not so good on giving an in-depth view on myself, but here goes:
I am one of the rare, elusive INTP females and darn proud of it! I tend to spend the majority of my spare time surfing on the internet researching various subjects (typical INTP behavior I guess). My ultimate goal in life is to define and reach my own personal enlightment, and to decipher most of life's mysteries. I've pretty much decided that life is meaningless unless you give it a meaning, so this is how I'll go about it.",New Jersey,,,Type 5w6,,[]
adagio,"['Adriana', 'Ayia', 'BeauGarcon', 'DeepDownImShallow', 'lemurbaby', 'lifeisanillusion', 'Melogene', 'Modesty', 'Narcissist', 'niki', 'refugee', 'Thread Killer']",,, https://www.personalitycafe.com/members/adagio.html,,Type 5,Male,[]
Adam E.,['Ebbertory'],,, https://www.personalitycafe.com/members/adam-e-.html,,,Male,[]
,"['Ariana', 'Crono', 'donkeybals', 'Happy about Nothing.', 'hauntology', 'KC']",,England,,Female,Type 4,Male,[]
affezwilling,,"There's a fine line between genius and insanity; my world exists on that line. I am a Chaos Artist, I make chaos theory look like a performance art.",The frozen north,,Female,Type 7w8,Male,[]
,,,Canada, https://www.personalitycafe.com/members/acey.html,Female,Type 9w8,Male,"['canadians-personality-cafe', 'spirituality', 'infp-haven']"
Achi,"['IFightDragons', 'MBTI Enthusiast', 'Mercer', 'niss', 'Promethea', 'Wake', 'Xanan']","Born and raised as a normal human boy, it was not long before the Great Achi's sarcasm surpassed that of other children's. As a teen he trained in the Sarcastic Arts till no one on the planet equaled him. It is only right to refer to him as a god of sarcasm.",,,Female,Type 9,,[]
Aelthwyn,,,, https://www.personalitycafe.com/members/aelthwyn.html,Male,,Female,[]
Aeneas2012,"['aquavenae', 'Archip', 'DiamondDays', 'Einstein', 'fatum210', 'frenchie', 'Happy about Nothing.', 'harM0NiZe', 'Kelly617', 'Laguna', 'Transcendence', 'Vanitas', 'When...', 'mr. rozay', 'n2freedom', 'petite libellule', 'Phal', 'quadrivium', 'Raiden', 'Sapphyreopal5', 'Siggy', 'smiley', 'SweetPickles']","Hello, everyone!  I'm a single 30-year old male residing in the Greater Orlando area of Florida.  I am an ENTJ.  A friend of mine really piqued my curiosity vis-a-vis Myers-Briggs personality types.  I am here in search of intelligent conversation.  Hopefully, some meaningful friendships/relationships will stem out of the process...",Central Florida, https://www.personalitycafe.com/members/aeneas2012.html,Female,,Male,[]
,"['Dashing', 'deftonePassenger', 'Spades', 'StoopidMunky11']",,South Florida, https://www.personalitycafe.com/members/aenima__.html,Male,Type 6,Female,[]
,"['Antipode', 'ApostateAbe', 'Epherion', 'Hunger', 'Jerick', 'Negativity Bias', 'Persian', 'Tuscan Dreamscape']",,, https://www.personalitycafe.com/members/aenye.html,,Unknown,Female,[]
abigaleblues,,,"New York, NY", https://www.personalitycafe.com/members/abigaleblues.html,Pansexual,Type 4,,[]
abitsilly,"['Tophat182', 'zyxwvut', 'abcdylan', 'Absurdist', 'Aleksei', 'AnastasiaEgo', 'dejavu', 'Imightbecrazy', 'Lolerskater', 'Midnight Runner', 'Paradox1987', 'possibilities']",,, https://www.personalitycafe.com/members/abitsilly.html,Male,Type 7,,[]
1yesman9,,Infinity + void == profit???,"Staten Island, New York", https://www.personalitycafe.com/members/1yesman9.html,Male,Type 5w4,Male,[]
200600910,"['Aelthwyn', 'crazystargrl', 'GreenLadyBug', 'OrangeAppled', 'PixieSaysHi', 'whiterwair']",,Spain, https://www.personalitycafe.com/members/200600910.html,Female,Type 5,Male,[]
20Rings,['angelcat'],,,,Male,,Female,[]
,['blehBLEH'],,, https://www.personalitycafe.com/members/21lux.html,Asexual,,Male,[]
,['YXZ'],,, https://www.personalitycafe.com/members/21st-century-marxist.html,Female,Type 1w2,Male,[]
1missgreen5,"['badgers', 'Tuscan Dreamscape']",,, https://www.personalitycafe.com/members/1missgreen5.html,,,Female,"['harry-potter', 'scandinavians-perc']"
AgAu,"['Ballerina', 'chickydoda', 'GentlemanKnight', 'Kid', 'Lilsnowy', 'pinkrasputin', 'quadrivium', 'RockinLissy', 'snail', 'Tay92', 'The King Of Dreams', 'viva']",,,,Female,Type 6,Male,[]
Agelaius,"['DiaphinisedBat', 'KINGoftheAMAZONS', 'purplegoon', 'RuthBoaz', 'SilverMoon', 'soulsearch', 'The King Of Dreams', 'Up and Away']",,, https://www.personalitycafe.com/members/agelaius.html,,Type 9w1,Neutral,[]
,,,Sweden,,Female,,Male,"['national-articulate-religious-institute-declassified-educated-understanding-equality', 'perceivers-haven', 'revolutionary-thinkers', 'scandinavians-perc', 'philosophy']"
,"['Dr. Buttercup', 'sprinkle']",,, https://www.personalitycafe.com/members/agent-of-virtue.html,,Type 9,Male,[]
Agent Washintub,"['alyssa_', 'cl0ud', 'Coburn', 'cool', 'Diving for Light', 'heyariwhatsup', 'LawyersAdvocate', 'Life.Is.A.Game', 'madhatter', 'MrWiggles', 'Nashvols', 'StephMC', 'VictoriaB', 'Virgo']",,, https://www.personalitycafe.com/members/agent-washintub.html,,Type 8w9,Male,[]
10SecondsFlat,['ClickForYaoi'],,, https://www.personalitycafe.com/members/10secondsflat.html,,Type 7w8,Female,[]
,,,, https://www.personalitycafe.com/members/118jess.html,,Type 2w3,Female,[]
11deep,,,"Santa Cruz, California", https://www.personalitycafe.com/members/11deep.html,,,Male,[]
,"['bubbleboy', 'Gabrielle Hope', 'ideologicalflowz', 'itsme45', 'Mankaroni', 'Napoleon', 'Theosophie']",Living in the depths gives one a better perspective of the shallows.,"Nairobi, Kenya", https://www.personalitycafe.com/members/adrianvannyiha.html,Female,Type 2w1,Male,[]
adrien,['girl_on_fire'],,"Paris, France",,Female,Type 8w7,Male,[]
172harmonic,"['Antipode', 'Bazinga187', 'Emrise', 'Giratina', 'I Kant', 'L', 'MadHattress', 'Raiju', 'shallnotbenamed']",,Illinois,,Female,Type 9,Male,"['lost-lonely', 'find-friend', 'intps-suck', 'intps-ftw', 'dejected-homicidal-introverts', 'reading-group']"
Adesi,"['unico', 'Wake', 'CallMeZ', 'Hutch', 'Marie Claire', 'MBTI Enthusiast', 'niss', 'Seeker', 'Spades', 'Spiny', 'Stephen', 'tanstaafl28']",,, https://www.personalitycafe.com/members/adesi.html,,Type 1,Female,[]
Adhokk,,,Bay Areaaaa, https://www.personalitycafe.com/members/adhokk.html,Female,,,[]
ADHR26,,,,,Both,Type 5w6,,[]
1moreCoffee,['Charly The Rabbit'],,, https://www.personalitycafe.com/members/1morecoffee.html,,Unknown,Male,[]
1whoseeswithoutbeingseen,['Leahomme'],,,,,,Male,[]
,,,"Coon Rapids, MN", https://www.personalitycafe.com/members/abbysaurus.html,Male,Unknown,,[]
,"['abitsilly', 'archangelic peon', 'dizzygirl']",,My head,,Female,Type 7,Male,[]
Aberrant,['DragonflyBlue'],"tell me something about yourself.
  I am a nerd. while everyone else is out doing popular stuff, I am making some art, playing with ideas, playing music, playing videogames or browsing the internet.
 I also try to do my best at being a neutral source of advice and help to anyone that needs it. I will not laugh at you (unless you are dressed as a clown, then all bets are off), I will not mock you, and most importantly I will not tell anyone. (also I don't charge :D)","Countryside, Illinois, United States", https://www.personalitycafe.com/members/aberrant.html,,Type 6,Male,[]
,,,, https://www.personalitycafe.com/members/ahoboninja.html,,,,[]
Ahoy,"['glycerol', 'phEight']",,, https://www.personalitycafe.com/members/ahoy.html,,,Male,[]
2ds,,,, https://www.personalitycafe.com/members/2ds.html,,,Male,[]
2eng,,,, https://www.personalitycafe.com/members/2eng.html,Female,,Male,[]
2GiveMyHeart2,"['Azelll', 'Berdudget', 'dylanshae', 'fguewriter', 'Koukol', 'Mustang', 'OffTheBooks', 'Rube', 'The King Of Dreams']","Let's see...not sure where to start...
I graduated in May 2010 from college and am currently looking for work of a creative nature.  I am more than likely trying to work on a drawing at the moment if I turn off the computer.  XD  I'm into the retro stuff coming back to the media.  I love to have a couple of friends, so don't take my screen name at face value.  :D",,,,,Female,[]
AdroElectro,"['ai.tran.75', 'altaber', 'anna.molly', 'Artemis 2x4', 'Ausserirdische', 'CitricBoxer', 'crb', 'Deity', 'Demoiselle Dys', 'Deyna', 'Eclipze', 'Fischer', 'hey_all_beautiful_people', 'Kintsugi', 'LostInTranslationENTP', 'lovelypink', 'Lucyyy', 'Merry in Sunshine', 'Michael Maldonado', 'RubberDuckDudette', 'ZealousJackofAllTrades55', 'Sarah Arminell', 'SevSevens', 'sofa18', 'Summer_Girl', 'TheQuirkyArtiste', 'tlm', 'truth number 2', 'Whizkiid89', 'Wiz', 'x_Rosa_x']","When I was 11 I was chosen to attend Hogwarts where I learned to become a Jedi. After graduating I joined Starfleet, and I'm currently serving under captain Gandalf on the Battlestar Galactica. The spice must flow! 
(Seriously though, if you want to know anything about me just send me a private message.)",North Georgia, https://www.personalitycafe.com/members/adroelectro.html,Female,,Male,[]
2Thumbs,"['bombsaway', 'cityofcircuits', 'Diamondeyes', 'Dolorous Haze', 'firedell', 'jsh4', 'Luanne', 'musicislife', 'NChSh']",,Cornwall. UK, https://www.personalitycafe.com/members/2thumbs.html,Male,,Female,[]
aHumanRenaisance,"['carolineatlantis', 'Vahyavishdapaya']","Born to St. Louis, MO in 1983, moved to California when I was 7. Moved back to St. Louis in 1999. Destination Paris (not the city, though that would be nice). Currently attending college and pursuing a career in IT. Considering becoming fluent in Spanish and teaching English as a second language.",Mental Utopia, https://www.personalitycafe.com/members/ahumanrenaisance.html,Female,Type 5w4,,[]
Ahura Mazda,"['bettiepage', 'Lumi']",,,,,Unknown,Male,['australian-percers']
Aiam,"['Burning Lion', 'Danse Macabre', 'Hardstyler', 'jack london', 'kaycee', 'MaggieRooWho', 'pinkrasputin', 'Snowguard', 'weka']",,, https://www.personalitycafe.com/members/aiam.html,Both,Type 7,Female,[]
,"['Abraxas', 'beth x', 'Bunker Man', 'Eylrid', 'Green Girl', 'Humoriarty', 'Isis', 'Napoleptic', 'sherkanner']",,, https://www.personalitycafe.com/members/aiba99.html,,Unknown,Female,[]
,,,,,,,,[]
Aidan,"['Emtropy', 'Master Planner', 'phony', 'Emtropy', 'Master Planner', 'phony']",,,,,,,[]
,,"I love animals, being outside, cooking, making things, and all things vintage/antique.",, https://www.personalitycafe.com/members/aboyeraboyer.html,Male,Type 2,,['cartoon-watchers']
aedan94,,,,,,Type 9w1,Female,[]
,"['Agent Blackout', 'Aha', 'CasusBelli', 'deSouza', 'dream land fantasy', 'ESFPlover', 'gmaslin', 'Grandmaster Yoda', 'L', 'lackofmops', 'NeFiLia', 'SevSevens', 'Stickman', 'Treat me like Im human']",,, https://www.personalitycafe.com/members/aef8234.html,Pansexual,Type 7,,[]
Aegis,['snail'],,Ohio,,Female,Type 2,,[]
3704 3837,,,, https://www.personalitycafe.com/members/3704-3837.html,,Unknown,Female,[]
374714,"['princessJAY', 'RachelRoss', 'Rala', 'star tripper', 'starwars', 'Wild', 'ATE', 'cricket', 'jade09', 'kaleidoscope', 'Maidelane', 'MBTI Enthusiast', 'Messenger Six', 'mhysa', 'Nissa Nissa', 'Philathea']",,Greece, https://www.personalitycafe.com/members/374714.html,Female,Type 7w6,,[]
abrecan,['alextyrian'],,, https://www.personalitycafe.com/members/abrecan.html,Both,,,[]
,,,,,,,Female,[]
Abscisse,,,, https://www.personalitycafe.com/members/abscisse.html,Pansexual,,,[]
Absent Minded Professor,"['Artist', 'PhoebeJaspe']",,, https://www.personalitycafe.com/members/absent-minded-professor.html,,,Male,[]
,,"-I enjoy long walks in graveyards and underwater basket weaving. 
-I?m more of the silent type, so don?t expect me to start any 
conversations whilst I?m creeping on your profile. 
-And I spend too much time on ?You-Porn?. 
-Actually no, I?m just kidding about that one. 
-No, seriously I?m kidding.",, https://www.personalitycafe.com/members/absenttabasum.html,,Type 6w5,Female,[]
Absolute Foodie,,,Venus land, https://www.personalitycafe.com/members/absolute-foodie.html,,,Female,[]
Absolute_Eb,"['Bella2016', 'Chocolatentropy', 'ERIKGWK', 'NineTypesOfLight', 'pyramidsong', 'Stable Genius']","I'm a pretty curious guy, so don't be shy and come say hi! 
I enjoy talking with people whose opinions and experiences are so vastly different from my own.  Please don't be shy, but also please don't be rude.  If you open with a sarcastic joke I might not realize that it's a joke unfortunately :/ 
I'm a musician who loves music in all of its aspects; I had piano lessons since I was a small child, studied music in college, and today am a teacher and music director.   I could talk indefinitely about it.   
I read about MBTI as a hobby. I'm not trained/educated in any way, but I'm probably more well read than some fellow hobbyists. I could really be interested in just about any subject if you actually know what you're talking about.  I'm a life-long learner who believes that everyone's an expert at something.",,,Female,Unknown,,['classical-music']
Absolution,,,, https://www.personalitycafe.com/members/absolution.html,,,Male,[]
,,,Australia, https://www.personalitycafe.com/members/abster.html,Male,Type 9,Female,[]
42O,"['Dr.Horrible', 'Einstein', 'Tea Path', 'TeslaEsoteric']",,Venus, https://www.personalitycafe.com/members/42o.html,,,Female,[]
Acadia,"['SophiaMarie', 'Stultum', 'topher', 'TylerDom', 'Virgo', 'aus2020', 'boogiestomp', 'Loaf', 'MrWiggles', 'RingzJr', 'Saturnian Devil', 'Sensational', 'Sentio', 'SheWolf', 'Shifter']","I come and go. I look more like a thinker than a feeler, but I'm led by my passions. I live in one place for sometime, and then somewhere else, pursuing work in conservation biology. I like to climb trees, and I often find myself in really remarkable situations. My life is pretty cool, and I hope to one day write about my experiences. 
ISFP - Cognitive Functions // ISTP - official MBTI Test
6w7 cp - 8w7 - 4w3  
truthaliar.tumblr.com",, https://www.personalitycafe.com/members/acadia.html,,Type 6w7,,[]
Aerovin,"['MaskedNicci', 'Ninjaws', 'tanstaafl28']",,India,,,,Male,[]
Aert,"['Joestar', 'Morfy']","I'm making a game, and if you'd like to help me in any way let me know ><",Western A, https://www.personalitycafe.com/members/aert.html,,Type 2w3,,[]
afro samurai,,,, https://www.personalitycafe.com/members/afro-samurai.html,Female,Type 2,Male,[]
Afruabarkio,,,Spain, https://www.personalitycafe.com/members/afruabarkio.html,Female,Type 9w1,,[]
Afterburner,"['chickadee213', 'lawsfallmute', 'Maryll', 'piscesfish', 'ProfessorPregraduate']",,"Virginia, USA", https://www.personalitycafe.com/members/afterburner.html,Female,Type 5w4,Male,[]
,"['AniShelo', 'katherine765']","Narcissist, misanthrope, elitist, and all-around great guy. I enjoy thunderstorms, dark chocolate, and long naps. I have brown hair, brown eyes, and a three-digit IQ.",, https://www.personalitycafe.com/members/7ephyr.html,Female,Type 7w6,Male,[]
7dogguy,"['DekotaSleepsWithSirens', 'dream land fantasy', 'INSANiTY']",,WV, https://www.personalitycafe.com/members/7dogguy.html,Female,Type 4w5,Male,[]
7lm,['Electrical flOw'],,, https://www.personalitycafe.com/members/7lm.html,,,Female,[]
Agape,"['freeone77', 'goldrule2', 'Hatsya Orionis', 'InternalWonderous', 'Issmene', 'Kazuma Ikezawa', 'Lady Nurture', 'marzipan01', 'MNiS', 'niki', 'Ayia', 'brina.bird', 'Brittney', 'Christie42476', 'CuratorOfWeird', 'cvinitak', 'damiencoold', 'Dauntless', 'dileep', 'EmpireConquered', 'Opus', 'paradanmellow', 'PhoebeJaspe', 'Pinata Giraffe', 'Richard Evers', 'roly poly', 'skye21', 'sleepyhead', 'Snakecharmer', 'Sophianna', 'Spades', 'Spinkltini', 'stardeep', 'vanilla_dream', 'Veggie']",,Nowhere and Everywhere,,,Type 5,Male,[]
acire,['Cerebro'],,, https://www.personalitycafe.com/members/acire.html,,Type 2,,[]
,['Khalrin'],,"West Lafayette, IN",,,,Male,[]
,,,,,Asexual,,Female,[]
AgentSH,"['sinistralpal', 'snail', 'StephAnne04', 'Theaetetus', 'Lucem', 'marked174', 'Memory of Talon', 'Midnight Runner', 'MOGwok', 'Nearsification', 'NightSkyGirl', 'Promethea', 'RhoAlphaNuAlpha', 'sheepsclothing', 'agokcen', 'Allegorist', 'cardinalfire', 'Cheekymuffin', 'conformità', 'Cthulhu', 'Dallas', 'DarklyValentine', 'EvanR', 'Fanille']",,, https://www.personalitycafe.com/members/agentsh.html,Female,Type 5,,[]
A Temperamental Flutist,,,None of your business, https://www.personalitycafe.com/members/a-temperamental-flutist.html,,,,[]
,,5w4,, https://www.personalitycafe.com/members/a-thewiouth-fellow.html,,,,"['classical-music', 'jazz-group']"
A TRAIN,['Lilsnowy'],"Michigan State University student double majoring in Sales and Psychology. I plan on getting a nice job in sales for the first part of my career, then coming back to school and getting my PhD in Psychology!","East Lansing, Michigan",,,Type 2,,[]
,,,A city in Midwestern US, https://www.personalitycafe.com/members/a-sydney-vance.html,Female,Type 5w6,Male,[]
AdamLove,"['Compassionate Misanthrope', 'Geoffrey', 'liza_200', 'Marcuspolus', 'Nickel']",,Greater Los Angeles Area, https://www.personalitycafe.com/members/adamlove.html,Female,Unknown,,[]
adamsapple,,always a kid at heart :>,,,,Unknown,,[]
Ahale411,['Austengirl753'],,, https://www.personalitycafe.com/members/ahale411.html,,Unknown,,[]
,"['akiyama', 'Brixby Jones', 'Copper North', 'maust', 'Ultr4']",,'Straya,,Male,,Female,[]
,,,New England, https://www.personalitycafe.com/members/a2zimabee.html,,Unknown,,[]
a6m7zeke,['blaue'],,,,Female,,Male,[]
aa1183,,I don't like boxes :),,,Male,Type 7,Female,[]
aallyy,,,, https://www.personalitycafe.com/members/aallyy.html,,Type 2,Female,[]
Aaren,,,, https://www.personalitycafe.com/members/aaren.html,Asexual,,,"['vegetarians-beyond', 'scandinavians-perc']"
aarimas,"['Antipode', 'downsowf', 'Enigma Daddy', 'FiddleStycks', 'Mamihlapinatapai', 'Mojo Johnson', 'Ollyx2OxenFree', 'the3rdpower', 'Turophile', 'Zech']",,United Kingdom, https://www.personalitycafe.com/members/aarimas.html,,Unknown,,[]
Aaron Boal,,"A gamer first and foremost, nothing can change that. Got a PS3 and want to be friends on there? Add me: ratchan.  Be warned..I do not accept blank friend requests or boosting pals.",Melboune, https://www.personalitycafe.com/members/aaron-boal.html,,Type 6,Male,[]
,"['Grunfur', 'starspawn']",,, https://www.personalitycafe.com/members/aaron-b-krebs.html,,Type 6w5,Male,[]
Agni,"['beth x', 'Eylrid', 'JackParrish', 'luemb']",,,,Female,Type 9w8,Male,[]
AgnosticWriterINFP,"['cathy3004', 'cybrmarc', 'Emiva', 'gvsunde', 'Hend', 'Jayrod', 'Lucretius', 'Simplify', 'SophiCandel', 'vastcat', 'WonderN2Wonder']","Kind, Intelligent, Reflective, Self-aware, Good Communicator, Reverent Agnostic...",USA,,Female,,,[]
AgnosticGirl,"['55262', 'es0teric21', 'ohnoezitsjoez', 'Rose Belle', 'they named me neil']",,, https://www.personalitycafe.com/members/agnosticgirl.html,Bisexual,Type 8,Female,[]
Abacrombie,"['Kenneth Udut', 'Nienna']",,, https://www.personalitycafe.com/members/abacrombie.html,,Type 5,Male,[]
Abbi,"['Dark Raven', 'DuctTape', 'Jools Lorien']",,, https://www.personalitycafe.com/members/abbi.html,,Type 5w6,Female,[]
Abbigailius,"['MagentaRose218', 'Sparkling Snowflake', 'teddy564339']","Here I am, living and learning!",,,,Type 6w5,,[]
,,,A long way away from reality, https://www.personalitycafe.com/members/adonnus.html,Female,Unknown,,[]
AIVION,,"I came here to learn about myself and attain a greater understanding of other's and how better to interact with people.  :) However, recently I've been dealing with depression and I can't feel like myself because life is cruel... I wish I could just blossom and be me but life is holding me back... ;((
I come from a Mafia community and may divulge myself in the Mafia community that's here! I also Moderate in said Community too, definitely check us out! Starcraft 2 Mafia! :)
You should also check out the Skwirl community Discord server. Beautiful and interesting people there! :) https://discord.gg/rYRT5Tz Join and type s.cat.~",Wonderland, https://www.personalitycafe.com/members/aivion.html,Bisexual,Type 5w4,,[]
,"['Bastard', 'Blue Ribbon', 'crazitaco', 'daleks_exterminate', 'Exy', 'Hexcoder', 'Jawz', 'JennyJukes', 'Lakigigar', 'Nabbit', 'narcissistic', 'Paradigm', 'Pessimissing', 'roseyrox', 'Spacenik86', 'Surreal Snake', 'Vaka', 'Wild']",,, https://www.personalitycafe.com/members/aiwass.html,,,,[]
AiyokuSama,['arohk'],,West Coast Canada, https://www.personalitycafe.com/members/aiyokusama.html,Both,Type 8w7,,[]
aiza,"['Extraverted Delusion', 'ForsakenMe']",,"Toronto, Canada",,,Unknown,Female,[]
,"['11thNight', 'Anima', 'CherishYourHeart', 'CupcakesRDaBestBruv', 'Dalien', 'Darkstar', 'emerald sea', 'Flow Ozzy', 'FromTheWorldUp', 'Gildar', 'Misha', 'muddy120', 'musician gal', 'mzdimples90', 'ohTOMICho', 'petite libellule', 'Radam', 'Ramysa', 'rezo', 'RomanticEditor', 'goldrule2', 'Halcyon', 'HeartCartography', 'hopebeat', 'JaySH', 'knife', 'Lady Nurture', 'Lmiris', 'Lost in Oblivion', 'Melancholicbliss', 'Sei35', 'SoulSpark', 'Stephen', 'unico', 'Unicorntopia', 'Up and Away', 'Vexilla Regis', 'warweasel']",,, https://www.personalitycafe.com/members/aizar.html,,Unknown,Female,[]
Adena,,Currently fucking logic,Hell,,Male,Type 9w1,,[]
adenine,,,Finland, https://www.personalitycafe.com/members/adenine.html,Male,Type 5w4,Female,[]
adeodatus,,"I've taken the Enneagram test several times and have finally come to the realization that I am a 1 - It fit's me well.  
The quest for more knowledge, the meaning of life, the philosophical questions?my mind is always occupied, and what?s exciting is when I get to follow through with an insight and do something. 
I think I am a mystery to people. They never really understand me and part of me enjoys that. More often though, I long to be understood. 
I need a balance between people contact and working on creative projects and will break away from interactions when I get tired out. 
I tend to intuitively read people very quickly, but I have to be cautious not to make assumptions. 
I feel other people?s feelings, and taking on that burden can make me too intense and serious, where I can?t be spontaneous and fun loving... 
I respect most the person who is willing to come forth and be an individual",, https://www.personalitycafe.com/members/adeodatus.html,Female,Type 1,Male,[]
Adore,"['Deathmint', 'devsmess', 'Light Yagami']",,,,,Unknown,,[]
